# EXAMPLE imported H(f) - ILLUSTRATIVE format template, NOT measured data.
# source_tool: EXAMPLE (replace with your OrcaFlex / RIFLEX / DeepLines export)
# tool_version: n/a
# load_case: reference SCR, moderate sea state (illustrative)
# columns: freq_hz, magnitude [N.m per m heave], phase_rad
freq_hz,magnitude,phase_rad
0.0200,1.644449e+03,-0.188496
0.0273,1.825947e+03,-0.257185
0.0346,2.014226e+03,-0.325874
0.0419,2.207395e+03,-0.394563
0.0492,2.403278e+03,-0.463252
0.0564,2.599442e+03,-0.531941
0.0637,2.793240e+03,-0.600630
0.0710,2.981868e+03,-0.669319
0.0783,3.162427e+03,-0.738008
0.0856,3.331999e+03,-0.806697
0.0929,3.487716e+03,-0.875386
0.1002,3.626849e+03,-0.944075
0.1075,3.746880e+03,-1.012764
0.1147,3.845584e+03,-1.081453
0.1220,3.921090e+03,-1.150142
0.1293,3.971946e+03,-1.218831
0.1366,3.997164e+03,-1.287521
0.1439,3.996249e+03,-1.356210
0.1512,3.969221e+03,-1.424899
0.1585,3.916607e+03,-1.493588
0.1658,3.839431e+03,-1.562277
0.1731,3.739174e+03,-1.630966
0.1803,3.617734e+03,-1.699655
0.1876,3.477359e+03,-1.768344
0.1949,3.320585e+03,-1.837033
0.2022,3.150153e+03,-1.905722
0.2095,2.968936e+03,-1.974411
0.2168,2.779854e+03,-2.043100
0.2241,2.585801e+03,-2.111789
0.2314,2.389574e+03,-2.180478
0.2386,2.193804e+03,-2.249167
0.2459,2.000908e+03,-2.317856
0.2532,1.813045e+03,-2.386545
0.2605,1.632082e+03,-2.455235
0.2678,1.459579e+03,-2.523924
0.2751,1.296776e+03,-2.592613
0.2824,1.144603e+03,-2.661302
0.2897,1.003683e+03,-2.729991
0.2969,8.743597e+02,-2.798680
0.3042,7.567212e+02,-2.867369
0.3115,6.506295e+02,-2.936058
0.3188,5.557553e+02,-3.004747
0.3261,4.716128e+02,-3.073436
0.3334,3.975937e+02,3.141060
0.3407,3.330010e+02,3.072371
0.3480,2.770790e+02,3.003682
0.3553,2.290413e+02,2.934993
0.3625,1.880944e+02,2.866304
0.3698,1.534582e+02,2.797615
0.3771,1.243817e+02,2.728926
0.3844,1.001555e+02,2.660237
0.3917,8.012079e+01,2.591548
0.3990,6.367481e+01,2.522859
0.4063,5.027385e+01,2.454170
0.4136,3.943381e+01,2.385481
0.4208,3.072892e+01,2.316791
0.4281,2.378910e+01,2.248102
0.4354,1.829619e+01,2.179413
0.4427,1.397962e+01,2.110724
0.4500,1.061163e+01,2.042035
