# source_tool: ILLUSTRATIVE (template, NOT project data)
# tool_version: n/a
# load_case: head-ish seas, transit draft
# heading_deg: 20
# notes: replace with a validated WAMIT/AQWA/OrcaFlex 6-DOF RAO table
freq_hz,heave_mag,heave_phase_deg,surge_mag,surge_phase_deg,sway_mag,sway_phase_deg,pitch_mag,pitch_phase_deg,roll_mag,roll_phase_deg,yaw_mag,yaw_phase_deg
0.0300,1.1335,0.0,1.8851,9.0,0.5655,12.0,0.2958,18.0,0.3189,22.5,1.1263,27.0
0.0445,1.3403,0.0,1.9822,13.3,0.5947,17.8,0.7343,26.7,0.9243,33.4,0.8434,40.0
0.0590,1.7436,0.0,0.7602,17.7,0.2281,23.6,1.5654,35.4,2.7328,44.2,0.5762,53.1
0.0734,2.3946,0.0,0.4035,22.0,0.1210,29.4,3.2735,44.0,6.2633,55.1,0.4992,66.1
0.0879,2.2900,0.0,0.2545,26.4,0.0764,35.2,7.4734,52.7,3.8297,65.9,0.4646,79.1
0.1024,1.4119,0.0,0.1771,30.7,0.0531,41.0,12.5571,61.4,2.7776,76.8,0.4457,92.2
0.1169,0.8939,0.0,0.1310,35.1,0.0393,46.8,8.8813,70.1,2.3307,87.7,0.4342,105.2
0.1314,0.6194,0.0,0.1012,39.4,0.0304,52.6,6.5395,78.8,2.0936,98.5,0.4266,118.3
0.1459,0.4585,0.0,0.0807,43.8,0.0242,58.4,5.4039,87.5,1.9497,109.4,0.4213,131.3
0.1603,0.3562,0.0,0.0660,48.1,0.0198,64.1,4.7701,96.2,1.8552,120.2,0.4175,144.3
0.1748,0.2856,0.0,0.0550,52.4,0.0165,69.9,4.3694,104.9,1.7883,131.1,0.4146,157.3
0.1893,0.2348,0.0,0.0466,56.8,0.0140,75.7,4.0983,113.6,1.7394,142.0,0.4124,170.4
0.2038,0.1970,0.0,0.0399,61.1,0.0120,81.5,3.9047,122.3,1.7023,152.8,0.4107,183.4
0.2183,0.1679,0.0,0.0346,65.5,0.0104,87.3,3.7605,131.0,1.6734,163.7,0.4093,196.5
0.2328,0.1450,0.0,0.0303,69.8,0.0091,93.1,3.6497,139.7,1.6504,174.6,0.4081,209.5
0.2472,0.1268,0.0,0.0268,74.2,0.0080,98.9,3.5631,148.3,1.6320,185.4,0.4072,222.5
0.2617,0.1117,0.0,0.0239,78.5,0.0072,104.7,3.4929,157.0,1.6167,196.3,0.4064,235.5
0.2762,0.0993,0.0,0.0214,82.9,0.0064,110.5,3.4354,165.7,1.6040,207.1,0.4057,248.6
0.2907,0.0888,0.0,0.0193,87.2,0.0058,116.3,3.3878,174.4,1.5932,218.0,0.4052,261.6
0.3052,0.0800,0.0,0.0175,91.6,0.0052,122.1,3.3478,183.1,1.5841,228.9,0.4047,274.7
0.3197,0.0724,0.0,0.0159,95.9,0.0048,127.9,3.3139,191.8,1.5763,239.8,0.4043,287.7
0.3341,0.0660,0.0,0.0145,100.2,0.0044,133.6,3.2850,200.5,1.5696,250.6,0.4039,300.7
0.3486,0.0603,0.0,0.0133,104.6,0.0040,139.4,3.2598,209.2,1.5637,261.4,0.4036,313.7
0.3631,0.0553,0.0,0.0123,108.9,0.0037,145.2,3.2380,217.9,1.5585,272.3,0.4033,326.8
0.3776,0.0510,0.0,0.0113,113.3,0.0034,151.0,3.2188,226.6,1.5539,283.2,0.4030,339.8
0.3921,0.0471,0.0,0.0105,117.6,0.0032,156.8,3.2019,235.3,1.5499,294.1,0.4028,352.9
0.4066,0.0437,0.0,0.0098,122.0,0.0029,162.6,3.1869,244.0,1.5463,304.9,0.4026,5.9
0.4210,0.0406,0.0,0.0091,126.3,0.0027,168.4,3.1736,252.6,1.5431,315.8,0.4024,18.9
0.4355,0.0379,0.0,0.0085,130.6,0.0026,174.2,3.1616,261.3,1.5402,326.6,0.4023,31.9
0.4500,0.0354,0.0,0.0080,135.0,0.0024,180.0,3.1509,270.0,1.5376,337.5,0.4021,45.0
