# SYNTHETIC MRU DATA - generated by generate_sample_mru.py (NOT measured).
# seed=20240705 fs=4.0Hz duration=1800.0s Hs=3.5m Tp=11.0s gamma=2.5
time_s,heave_m,pitch_deg
0.000000e+00,-1.883804e-01,3.588742e-02
2.500000e-01,-4.581443e-01,-4.507731e-01
5.000000e-01,-7.136873e-01,-9.182145e-01
7.500000e-01,-9.487132e-01,-1.361143e+00
1.000000e+00,-1.157782e+00,-1.776698e+00
1.250000e+00,-1.336513e+00,-2.164314e+00
1.500000e+00,-1.481611e+00,-2.525021e+00
1.750000e+00,-1.590748e+00,-2.860301e+00
2.000000e+00,-1.662417e+00,-3.170778e+00
2.250000e+00,-1.695856e+00,-3.455135e+00
2.500000e+00,-1.691153e+00,-3.709606e+00
2.750000e+00,-1.649484e+00,-3.928226e+00
3.000000e+00,-1.573380e+00,-4.103746e+00
3.250000e+00,-1.466850e+00,-4.228917e+00
3.500000e+00,-1.335229e+00,-4.297698e+00
3.750000e+00,-1.184721e+00,-4.306009e+00
4.000000e+00,-1.021744e+00,-4.251853e+00
4.250000e+00,-8.522646e-01,-4.134897e+00
4.500000e+00,-6.813128e-01,-3.955797e+00
4.750000e+00,-5.127986e-01,-3.715643e+00
5.000000e+00,-3.496003e-01,-3.415793e+00
5.250000e+00,-1.938005e-01,-3.058135e+00
5.500000e+00,-4.690070e-02,-2.645630e+00
5.750000e+00,9.010018e-02,-2.182826e+00
6.000000e+00,2.167665e-01,-1.676075e+00
6.250000e+00,3.333233e-01,-1.133353e+00
6.500000e+00,4.406437e-01,-5.637637e-01
6.750000e+00,5.400308e-01,2.302265e-02
7.000000e+00,6.328120e-01,6.171438e-01
7.250000e+00,7.198853e-01,1.208598e+00
7.500000e+00,8.014131e-01,1.787040e+00
7.750000e+00,8.768118e-01,2.341554e+00
8.000000e+00,9.450555e-01,2.860678e+00
8.250000e+00,1.005154e+00,3.332840e+00
8.500000e+00,1.056567e+00,3.747196e+00
8.750000e+00,1.099323e+00,4.094612e+00
9.000000e+00,1.133745e+00,4.368454e+00
9.250000e+00,1.159852e+00,4.564908e+00
9.500000e+00,1.176693e+00,4.682718e+00
9.750000e+00,1.181899e+00,4.722506e+00
1.000000e+01,1.171685e+00,4.685988e+00
1.025000e+01,1.141355e+00,4.575434e+00
1.050000e+01,1.086176e+00,4.393608e+00
1.075000e+01,1.002342e+00,4.144155e+00
1.100000e+01,8.877370e-01,3.832220e+00
1.125000e+01,7.423148e-01,3.464920e+00
1.150000e+01,5.680498e-01,3.051385e+00
1.175000e+01,3.685849e-01,2.602216e+00
1.200000e+01,1.487648e-01,2.128484e+00
1.225000e+01,-8.576766e-02,1.640558e+00
1.250000e+01,-3.288250e-01,1.147108e+00
1.275000e+01,-5.737947e-01,6.545772e-01
1.300000e+01,-8.137081e-01,1.672003e-01
1.325000e+01,-1.041354e+00,-3.125248e-01
1.350000e+01,-1.249484e+00,-7.831268e-01
1.375000e+01,-1.431106e+00,-1.243463e+00
1.400000e+01,-1.579807e+00,-1.692197e+00
